Percent_Height,Height_mm,Capacity_L
0,0,100
1,11.14,124.29
2,22.28,149.44
3,33.42,175.44
4,44.56,202.3
5,55.7,230
6,66.84,258.54
7,77.98,287.92
8,89.12,318.12
9,100.26,349.15
10,111.4,381
11,122.54,413.66
12,133.68,447.1
13,144.82,481.32
14,155.96,516.28
15,167.1,551.97
16,178.24,588.36
17,189.38,625.44
18,200.52,663.18
19,211.66,701.55
20,222.8,740.55
21,233.94,780.14
22,245.08,820.31
23,256.22,861.03
24,267.36,902.28
25,278.5,944.04
26,289.64,986.29
27,300.78,1029
28,311.92,1072.16
29,323.06,1115.75
30,334.2,1159.74
31,345.34,1204.11
32,356.48,1248.83
33,367.62,1293.9
34,378.76,1339.28
35,389.9,1384.95
36,401.04,1430.9
37,412.18,1477.1
38,423.32,1523.53
39,434.46,1570.16
40,445.6,1616.99
41,456.74,1663.97
42,467.88,1711.1
43,479.02,1758.36
44,490.16,1805.71
45,501.3,1853.14
46,512.44,1900.63
47,523.58,1948.15
48,534.72,1995.69
49,545.86,2043.21
50,557,2090.71
51,568.14,2138.16
52,579.28,2185.54
53,590.42,2232.82
54,601.56,2279.99
55,612.7,2327.02
56,623.84,2373.89
57,634.98,2420.57
58,646.12,2467.06
59,657.26,2513.33
60,668.4,2559.34
61,679.54,2605.1
62,690.68,2650.56
63,701.82,2695.71
64,712.96,2740.54
65,724.1,2785
66,735.24,2829.1
67,746.38,2872.8
68,757.52,2916.08
69,768.66,2958.92
70,779.8,3001.3
71,790.94,3043.19
72,802.08,3084.59
73,813.22,3125.45
74,824.36,3165.77
75,835.5,3205.53
76,846.64,3244.69
77,857.78,3283.23
78,868.92,3321.15
79,880.06,3358.41
80,891.2,3394.99
81,902.34,3430.88
82,913.48,3466.04
83,924.62,3500.46
84,935.76,3534.12
85,946.9,3567
86,958.04,3599.05
87,969.18,3630.13
88,980.32,3660.09
89,991.46,3688.76
90,1002.6,3716
91,1013.74,3741.66
92,1024.88,3765.71
93,1036.02,3788.13
94,1047.16,3808.89
95,1058.3,3828
96,1069.44,3845.43
97,1080.58,3861.15
98,1091.72,3875.17
99,1102.86,3887.46
100,1114,3898
