HEIGHT MM,CAPACITY L
0,11
1,15
2,21
3,27
4,33
5,39
6,46
7,52
8,58
9,64
10,70
11,76
12,82
13,89
14,95
15,101
16,107
17,113
18,119
19,125
20,132
21,138
22,144
23,150
24,156
25,162
26,168
27,175
28,181
29,187
30,193
31,199
32,205
33,211
34,218
35,224
36,230
37,236
38,242
39,248
40,255
41,261
42,267
43,273
44,279
45,285
46,291
47,298
48,304
49,310
50,316
51,322
52,328
53,334
54,341
55,347
56,353
57,359
58,365
59,371
60,377
61,384
62,390
63,396
64,402
65,408
66,414
67,420
68,427
69,433
70,439
71,445
72,451
73,457
74,463
75,470
76,476
77,482
78,488
79,494
80,500
81,506
82,513
83,519
84,525
85,531
86,537
87,543
88,550
89,556
90,562
91,568
92,574
93,580
94,586
95,593
96,599
97,605
98,611
99,617
100,623
101,635
102,647
103,659
104,671
105,682
106,694
107,706
108,718
109,730
110,742
111,753
112,765
113,777
114,789
115,801
116,813
117,824
118,836
119,848
120,860
121,872
122,883
123,895
124,907
125,919
126,931
127,943
128,954
129,966
130,978
131,990
132,1002
133,1014
134,1025
135,1037
136,1049
137,1061
138,1073
139,1085
140,1096
141,1108
142,1120
143,1132
144,1144
145,1156
146,1167
147,1179
148,1191
149,1203
150,1215
151,1226
152,1238
153,1250
154,1262
155,1274
156,1286
157,1297
158,1309
159,1321
160,1333
161,1345
162,1357
163,1368
164,1380
165,1392
166,1404
167,1416
168,1428
169,1439
170,1451
171,1463
172,1475
173,1487
174,1499
175,1510
176,1522
177,1534
178,1546
179,1558
180,1570
181,1581
182,1593
183,1605
184,1617
185,1629
186,1640
187,1652
188,1664
189,1676
190,1688
191,1700
192,1711
193,1723
194,1735
195,1747
196,1759
197,1771
198,1782
199,1794
200,1806
201,1821
202,1836
203,1851
204,1867
205,1882
206,1897
207,1912
208,1927
209,1942
210,1957
211,1972
212,1987
213,2003
214,2018
215,2033
216,2048
217,2063
218,2078
219,2093
220,2108
221,2123
222,2139
223,2154
224,2169
225,2184
226,2199
227,2214
228,2229
229,2244
230,2259
231,2275
232,2290
233,2305
234,2320
235,2335
236,2350
237,2365
238,2380
239,2396
240,2411
241,2426
242,2441
243,2456
244,2471
245,2486
246,2501
247,2516
248,2532
249,2547
250,2562
251,2577
252,2592
253,2607
254,2622
255,2637
256,2652
257,2668
258,2683
259,2698
260,2713
261,2728
262,2743
263,2758
264,2773
265,2788
266,2804
267,2819
268,2834
269,2849
270,2864
271,2879
272,2894
273,2909
274,2924
275,2940
276,2955
277,2970
278,2985
279,3000
280,3015
281,3030
282,3045
283,3061
284,3076
285,3091
286,3106
287,3121
288,3136
289,3151
290,3166
291,3181
292,3197
293,3212
294,3227
295,3242
296,3257
297,3272
298,3287
299,3302
300,3317
301,3335
302,3353
303,3370
304,3388
305,3405
306,3423
307,3440
308,3458
309,3475
310,3493
311,3511
312,3528
313,3546
314,3563
315,3581
316,3598
317,3616
318,3634
319,3651
320,3669
321,3686
322,3704
323,3721
324,3739
325,3756
326,3774
327,3792
328,3809
329,3827
330,3844
331,3862
332,3879
333,3897
334,3914
335,3932
336,3950
337,3967
338,3985
339,4002
340,4020
341,4037
342,4055
343,4073
344,4090
345,4108
346,4125
347,4143
348,4160
349,4178
350,4195
351,4213
352,4231
353,4248
354,4266
355,4283
356,4301
357,4318
358,4336
359,4354
360,4371
361,4389
362,4406
363,4424
364,4441
365,4459
366,4476
367,4494
368,4512
369,4529
370,4547
371,4564
372,4582
373,4599
374,4617
375,4634
376,4652
377,4670
378,4687
379,4705
380,4722
381,4740
382,4757
383,4775
384,4793
385,4810
386,4828
387,4845
388,4863
389,4880
390,4898
391,4915
392,4933
393,4951
394,4968
395,4986
396,5003
397,5021
398,5038
399,5056
400,5073
401,5093
402,5112
403,5132
404,5151
405,5171
406,5190
407,5210
408,5229
409,5249
410,5268
411,5288
412,5307
413,5326
414,5346
415,5365
416,5385
417,5404
418,5424
419,5443
420,5463
421,5482
422,5502
423,5521
424,5540
425,5560
426,5579
427,5599
428,5618
429,5638
430,5657
431,5677
432,5696
433,5716
434,5735
435,5755
436,5774
437,5793
438,5813
439,5832
440,5852
441,5871
442,5891
443,5910
444,5930
445,5949
446,5969
447,5988
448,6007
449,6027
450,6046
451,6066
452,6085
453,6105
454,6124
455,6144
456,6163
457,6183
458,6202
459,6222
460,6241
461,6260
462,6280
463,6299
464,6319
465,6338
466,6358
467,6377
468,6397
469,6416
470,6436
471,6455
472,6474
473,6494
474,6513
475,6533
476,6552
477,6572
478,6591
479,6611
480,6630
481,6650
482,6669
483,6689
484,6708
485,6727
486,6747
487,6766
488,6786
489,6805
490,6825
491,6844
492,6864
493,6883
494,6903
495,6922
496,6941
497,6961
498,6980
499,7000
500,7019
501,7040
502,7061
503,7082
504,7103
505,7124
506,7145
507,7166
508,7187
509,7208
510,7229
511,7250
512,7271
513,7292
514,7312
515,7333
516,7354
517,7375
518,7396
519,7417
520,7438
521,7459
522,7480
523,7501
524,7522
525,7543
526,7564
527,7585
528,7606
529,7627
530,7648
531,7668
532,7689
533,7710
534,7731
535,7752
536,7773
537,7794
538,7815
539,7836
540,7857
541,7878
542,7899
543,7920
544,7941
545,7962
546,7983
547,8004
548,8025
549,8045
550,8066
551,8087
552,8108
553,8129
554,8150
555,8171
556,8192
557,8213
558,8234
559,8255
560,8276
561,8297
562,8318
563,8339
564,8360
565,8381
566,8401
567,8422
568,8443
569,8464
570,8485
571,8506
572,8527
573,8548
574,8569
575,8590
576,8611
577,8632
578,8653
579,8674
580,8695
581,8716
582,8737
583,8757
584,8778
585,8799
586,8820
587,8841
588,8862
589,8883
590,8904
591,8925
592,8946
593,8967
594,8988
595,9009
596,9030
597,9051
598,9072
599,9093
600,9114
601,9136
602,9158
603,9180
604,9202
605,9224
606,9246
607,9268
608,9290
609,9312
610,9335
611,9357
612,9379
613,9401
614,9423
615,9445
616,9467
617,9489
618,9511
619,9533
620,9556
621,9578
622,9600
623,9622
624,9644
625,9666
626,9688
627,9710
628,9732
629,9754
630,9777
631,9799
632,9821
633,9843
634,9865
635,9887
636,9909
637,9931
638,9953
639,9976
640,9998
641,10020
642,10042
643,10064
644,10086
645,10108
646,10130
647,10152
648,10174
649,10197
650,10219
651,10241
652,10263
653,10285
654,10307
655,10329
656,10351
657,10373
658,10395
659,10418
660,10440
661,10462
662,10484
663,10506
664,10528
665,10550
666,10572
667,10594
668,10616
669,10639
670,10661
671,10683
672,10705
673,10727
674,10749
675,10771
676,10793
677,10815
678,10838
679,10860
680,10882
681,10904
